Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
AMIL PARTICIPAÇÕES S/A;AMIL PARTICIPAÇÕES S/A;CANCELADA;21172;SERVIÇOS MÉDICOS
AMPLA ENERGIA E SERVIÇOS S.A.;AMPLA ENERGIA E SERVIÇOS S.A.;ATIVO;3050;ENERGIA ELÉTRICA
AMPLA INVESTIMENTOS E SERVIÇOS S/A;AMPLA INVESTIMENTOS E SERVIÇOS S/A;CANCELADA;20214;EMP. ADM. PART. - ENERGIA ELéTRICA
ANCAR EMPREENDIMENTOS COMERCIAIS S/A;ANCAR EMPREENDIMENTOS COMERCIAIS S/A;CANCELADA;19259;EMP. ADM. PART. - COMéRCIO (ATACADO E VAREJO)
ANCAR SHOPPING SA;ANCAR SHOPPING SA;CANCELADA;15326;EMP. ADM. PARTICIPAÇÕES
ANCORA COMERCIAL SA;ANCORA COMERCIAL SA;CANCELADA;396;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
ANDERSON CLAYTON SA IND E COM;ANDERSON CLAYTON SA IND E COM;CANCELADA;400;ALIMENTOS
ANDRADE GUTIERREZ CONCESSOES SA;ANDRADE GUTIERREZ CONCESSOES SA;CANCELADA;19437;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ANDRADE GUTIERREZ PARTICIPAÇÕES SA;ANDRADE GUTIERREZ PARTICIPAÇÕES SA;CANCELADA;19062;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.;CANCELADA;18961;EMP. ADM. PART. - EDUCAçãO
ANIMA HOLDING S/A;ANIMA HOLDING S/A;ATIVO;23248;EDUCAÇÃO
ANSON SA ENG FUND RECUPERACOES;ANSON SA ENG FUND RECUPERACOES;CANCELADA;12416;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
APOLO PRODUTOS DE ACO SA;APOLO PRODUTOS DE ACO SA;CANCELADA;426;METALURGIA E SIDERURGIA
AQUA-RIO S/A;AQUA-RIO S/A;CANCELADA;22101;BRINQUEDOS E LAZER
AQUATEC QUIMICA SA;AQUATEC QUIMICA SA;CANCELADA;12564;PETROQUíMICOS E BORRACHA
ÁQUILLA SECURITIZADORA SA;ÁQUILLA SECURITIZADORA SA;ATIVO;21512;SECURITIZAÇÃO DE RECEBÍVEIS
AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.;AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.;CANCELADA;22950;SECURITIZAÇÃO DE RECEBÍVEIS
ARACRUZ CELULOSE S/A;ARACRUZ CELULOSE S/A;CANCELADA;434;PAPEL E CELULOSE
ARAFERTIL SA;ARAFERTIL SA;CANCELADA;485;PETROQUíMICOS E BORRACHA
ARAGUAIA CIA INDL DE PROD ALIM;ARAGUAIA CIA INDL DE PROD ALIM;CANCELADA;442;ALIMENTOS
ARAGUAIA SA MIN RACOES FERTIL;ARAGUAIA SA MIN RACOES FERTIL;CANCELADA;13161;EXTRAÇÃO MINERAL
ARAPUA IMPORTACAO COMERCIO SA;ARAPUA IMPORTACAO COMERCIO SA;CANCELADA;9806;COMÉRCIO (ATACADO E VAREJO)
