Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
GERMANI CIA PARANAENSE ALIMS;GERMANI CIA PARANAENSE ALIMS;CANCELADA;6459;ALIMENTOS
GERU SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;GERU SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;ATIVO;24538;SECURITIZAÇÃO DE RECEBÍVEIS
GESTIO SA COMERCIO E INDUSTRIA;GESTIO SA COMERCIO E INDUSTRIA;CANCELADA;6467;EMP. ADM. PARTICIPAÇÕES
GETEC GUANABARA QUIM INDL SA;GETEC GUANABARA QUIM INDL SA;CANCELADA;6475;PETROQUíMICOS E BORRACHA
GIANNINI SA;GIANNINI SA;CANCELADA;12939;OUTRAS ATIVIDADES INDUSTRIAIS
GLASSLITE SA IND DE PLASTICOS;GLASSLITE SA IND DE PLASTICOS;CANCELADA;6483;OUTRAS ATIVIDADES INDUSTRIAIS
GLOBAL BRASIL SA;GLOBAL BRASIL SA;CANCELADA;19402;EMP. ADM. PART. - SEM SETOR PRINCIPAL
GLOBAL TRUST SA;GLOBAL TRUST SA;CANCELADA;15776;SERVICOS DIVERSOS
GODOI SECURITIES - CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;GODOI SECURITIES - CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS;CANCELADA;19712;SECURITIZAÇÃO DE RECEBÍVEIS
GOL LINHAS AEREAS INTELIGENTES SA;GOL LINHAS AEREAS INTELIGENTES SA;ATIVO;19569;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
GOLDFARB INCORPORAÇÕES E CONSTRUÇÕES S/A;GOLDFARB INCORPORAÇÕES E CONSTRUÇÕES S/A;CANCELADA;20737;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
GOYANA SA I BRAS MATS PLASTS;GOYANA SA I BRAS MATS PLASTS;CANCELADA;6530;PETROQUíMICOS E BORRACHA
GPC INDUSTRIA E COMERCIO SA;GPC INDUSTRIA E COMERCIO SA;CANCELADA;6548;EMP. ADM. PARTICIPAÇÕES
GPC PARTICIPACOES SA;GPC PARTICIPACOES SA;ATIVO;16632;EMP. ADM. PART. - PETROQUíMICOS E BORRACHA
GPR - PINHEIRO & RINALDO CAPITAL S.A.;GPR - PINHEIRO & RINALDO CAPITAL S.A.;CANCELADA;23876;SECURITIZAÇÃO DE RECEBÍVEIS
GRANIMAR SA MARMORES GRANITOS;GRANIMAR SA MARMORES GRANITOS;CANCELADA;6564;EXTRAÇÃO MINERAL
GRANOLEO SA CI SEMS OLEAGS DER;GRANOLEO SA CI SEMS OLEAGS DER;CANCELADA;6572;ALIMENTOS
GRAPIA SA;GRAPIA SA;CANCELADA;15016;EMP. ADM. PARTICIPAÇÕES
GRAVATAI SUL SA;GRAVATAI SUL SA;CANCELADA;12904;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
GRAZZIOTIN SA;GRAZZIOTIN SA;ATIVO;4537;COMÉRCIO (ATACADO E VAREJO)
GRENDENE SA;GRENDENE SA;ATIVO;19615;TEXTIL E VESTUÁRIO
GRUÇAI PARTICIPAÇÕES SA;GRUÇAI PARTICIPAÇÕES SA;CANCELADA;15695;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
GRUPO SBF S.A.;GRUPO SBF S.A.;ATIVO;24694;COMÉRCIO (ATACADO E VAREJO)
GTD PARTICIPACOES SA;GTD PARTICIPACOES SA;CANCELADA;14915;EMP. ADM. PART. - SEM SETOR PRINCIPAL
GUARARAPES CONFECÇÕES SA;GUARARAPES CONFECÇÕES SA;ATIVO;4669;TEXTIL E VESTUÁRIO
GUARDIAN COMPANHIA SECURITIZADORA;GUARDIAN COMPANHIA SECURITIZADORA;ATIVO;24562;SECURITIZAÇÃO DE RECEBÍVEIS
GURGEL MOTORES SA;GURGEL MOTORES SA;CANCELADA;13382;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
GURGEL SA PARTICIPACOES;GURGEL SA PARTICIPACOES;CANCELADA;12050;EMP. ADM. PARTICIPAÇÕES
GVT HOLDING S/A;GVT HOLDING S/A;CANCELADA;20117;EMP. ADM. PART. - TELECOMUNICAçõES
GYPSUM DO NE SA IC DE GESSO;GYPSUM DO NE SA IC DE GESSO;CANCELADA;6610;EXTRAÇÃO MINERAL
HABITASEC SECURITIZADORA SA;HABITASEC SECURITIZADORA SA;ATIVO;21628;SECURITIZAÇÃO DE RECEBÍVEIS
HAGA S.A. INDÚSTRIA E COMÉRCIO;HAGA S.A. INDÚSTRIA E COMÉRCIO;ATIVO;13366;METALURGIA E SIDERURGIA
HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;CANCELADA;13960;ARRENDAMENTO MERCANTIL
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;ATIVO;24392;SERVIÇOS MÉDICOS
HARPIA ÔMEGA PARTICIPAÇÕES S.A.;HARPIA ÔMEGA PARTICIPAÇÕES S.A.;CANCELADA;22578;EMP. ADM. PART. - SEM SETOR PRINCIPAL
HAUSCENTER SA;HAUSCENTER SA;ATIVO;14850;EMP. ADM. PART. - SEM SETOR PRINCIPAL
HELBOR EMPREENDIMENTOS S/A;HELBOR EMPREENDIMENTOS S/A;ATIVO;20877;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
HERCULES S/A - FABRICA DE TALHERES;HERCULES S/A - FABRICA DE TALHERES;ATIVO;6629;METALURGIA E SIDERURGIA
HERING SA BRINQ INST MUSICAIS;HERING SA BRINQ INST MUSICAIS;CANCELADA;13137;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
HIDROVIAS DO BRASIL S.A.;HIDROVIAS DO BRASIL S.A.;ATIVO;22675;SERVIçOS TRANSPORTE E LOGíSTICA
HINDI CIA BRAS DE HABITACOES;HINDI CIA BRAS DE HABITACOES;CANCELADA;6661;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
HOECHST BRASIL QUIM FARM SA;HOECHST BRASIL QUIM FARM SA;CANCELADA;12335;PETROQUíMICOS E BORRACHA
HOECHST BRASIL SA QUIM FARM;HOECHST BRASIL SA QUIM FARM;CANCELADA;6670;PETROQUíMICOS E BORRACHA
HOPI HARI SA;HOPI HARI SA;CANCELADA;15377;HOSPEDAGEM E TURISMO
HOSPITAL LA SANTE SA;HOSPITAL LA SANTE SA;CANCELADA;15466;SERVIÇOS MÉDICOS
HOTEIS E TURISMO GUANABARA SA;HOTEIS E TURISMO GUANABARA SA;CANCELADA;6696;HOSPEDAGEM E TURISMO
HOTEIS OTHON SA;HOTEIS OTHON SA;ATIVO;6700;HOSPEDAGEM E TURISMO
HOTEIS TANNENHOF SA;HOTEIS TANNENHOF SA;CANCELADA;6718;HOSPEDAGEM E TURISMO
HOWA S.A. INDUSTRIAS MECANICAS;HOWA S.A. INDUSTRIAS MECANICAS;CANCELADA;6734;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A;HRH ILHA DO SOL EMPREENDIMENTOS IMOBILIÁRIOS SPE S/A;SUSPENSO(A) - DECISÃO ADM;24376;HOSPEDAGEM E TURISMO
HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN;HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN;CANCELADA;8915;ARRENDAMENTO MERCANTIL
HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN;HSBC ASSET FINANCE (BRASIL) - ARRENDAMEN;CANCELADA;15210;ARRENDAMENTO MERCANTIL
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;CANCELADA;12521;ARRENDAMENTO MERCANTIL
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;CANCELADA;19755;ARRENDAMENTO MERCANTIL
HSBC LEASING A.M.(BRASIL) SA;HSBC LEASING A.M.(BRASIL) SA;CANCELADA;736;ARRENDAMENTO MERCANTIL
HSBC SEGUROS BRASIL SA;HSBC SEGUROS BRASIL SA;CANCELADA;728;SEGURADORAS E CORRETORAS
HSBX BAURU EMPREENDIMENTOS SA;HSBX BAURU EMPREENDIMENTOS SA;CANCELADA;14095;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
HUMAITA SA;HUMAITA SA;CANCELADA;12149;EMP. ADM. PARTICIPAÇÕES
HUSKY SA;HUSKY SA;CANCELADA;13218;TEXTIL E VESTUÁRIO
HYDE PARK SA;HYDE PARK SA;CANCELADA;15580;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
HYPERA S/A;HYPERA S/A;ATIVO;21431;FARMACêUTICO E HIGIENE
IBM LEASING ARREND MERC SA;IBM LEASING ARREND MERC SA;CANCELADA;14257;ARRENDAMENTO MERCANTIL
ICAL IND DE CALCINACAO SA;ICAL IND DE CALCINACAO SA;CANCELADA;6785;EXTRAÇÃO MINERAL
ICANOR SA ARAMES E CABOS;ICANOR SA ARAMES E CABOS;CANCELADA;6793;OUTRAS ATIVIDADES INDUSTRIAIS
IDEIASNET SA;IDEIASNET SA;ATIVO;18414;EMP. ADM. PART. - COMUNICAçãO E INFORMáTICA
IDEROL SA EQUIPS RODOVIARIOS;IDEROL SA EQUIPS RODOVIARIOS;CANCELADA;13692;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
IFEMA SA I DE CONDS ELETRICOS;IFEMA SA I DE CONDS ELETRICOS;CANCELADA;6807;METALURGIA E SIDERURGIA
IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL;IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL;ATIVO;6815;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
IGUA SANEAMENTO S.A.;IGUA SANEAMENTO S.A.;CANCELADA;22403;SANEAMENTO, SERV. ÁGUA E GáS
IGUA SANEAMENTO S.A.;IGUA SANEAMENTO S.A.;ATIVO;23175;SANEAMENTO, SERV. ÁGUA E GáS
IGUACU CELULOSE PAPEL SA;IGUACU CELULOSE PAPEL SA;CANCELADA;15113;PAPEL E CELULOSE
IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;ATIVO;20494;COMÉRCIO (ATACADO E VAREJO)
IKPC INDS KLABIN PAPEL CEL SA;IKPC INDS KLABIN PAPEL CEL SA;CANCELADA;7420;PAPEL E CELULOSE
IMCOPA-IMPORTAÇÃO, EXPORT E IND DE OLEOS SA;IMCOPA-IMPORTAÇÃO, EXPORT E IND DE OLEOS SA;CANCELADA;21318;ALIMENTOS
IMCOSUL SA;IMCOSUL SA;CANCELADA;6831;COMÉRCIO (ATACADO E VAREJO)
IMPERIO LISAMAR SA IND E COM;IMPERIO LISAMAR SA IND E COM;CANCELADA;14567;ALIMENTOS
IMPORTADORA DE FERRAGENS SA;IMPORTADORA DE FERRAGENS SA;CANCELADA;6840;COMÉRCIO (ATACADO E VAREJO)
INBRAC SA CONDUTORES ELETRICOS;INBRAC SA CONDUTORES ELETRICOS;CANCELADA;6874;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INBRANDS SA;INBRANDS SA;ATIVO;22560;TEXTIL E VESTUÁRIO
IND AZULEJOS BAHIA SA;IND AZULEJOS BAHIA SA;CANCELADA;6955;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
IND BAHIANA DE LAJES SA;IND BAHIANA DE LAJES SA;CANCELADA;6912;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
IND BEBS ANTARCTICA AMAZ  SA;IND BEBS ANTARCTICA AMAZ  SA;CANCELADA;6963;BEBIDAS E FUMO
IND BEBS ANTARCTICA MG SA;IND BEBS ANTARCTICA MG SA;CANCELADA;6971;BEBIDAS E FUMO
IND BEBS ANTARCTICA MG SA;IND BEBS ANTARCTICA MG SA;CANCELADA;3581;BEBIDAS E FUMO
IND BEBS ANTARCTICA MT SA;IND BEBS ANTARCTICA MT SA;CANCELADA;13684;BEBIDAS E FUMO
IND BEBS ANTARCTICA NORTE-NORDESTE SA;IND BEBS ANTARCTICA NORTE-NORDESTE SA;CANCELADA;6980;BEBIDAS E FUMO
IND BEBS ANTARCTICA PARAIBA SA;IND BEBS ANTARCTICA PARAIBA SA;CANCELADA;13188;BEBIDAS E FUMO
IND BEBS ANTARCTICA PIAUI SA;IND BEBS ANTARCTICA PIAUI SA;CANCELADA;6998;BEBIDAS E FUMO
IND BEBS ANTARCTICA POLAR SA;IND BEBS ANTARCTICA POLAR SA;CANCELADA;7005;BEBIDAS E FUMO
IND BEBS ANTARCTICA RN SA;IND BEBS ANTARCTICA RN SA;CANCELADA;13668;BEBIDAS E FUMO
IND BIOL FARMACEUTICA AMAZ SA;IND BIOL FARMACEUTICA AMAZ SA;CANCELADA;6920;FARMACêUTICO E HIGIENE
IND CALCADOS ERNO SA;IND CALCADOS ERNO SA;CANCELADA;7013;TEXTIL E VESTUÁRIO
IND CERAMICA AMAZONIA SA INCA;IND CERAMICA AMAZONIA SA INCA;CANCELADA;6947;EXTRAÇÃO MINERAL
IND DE MAQS AGRICOLAS IDEAL SA;IND DE MAQS AGRICOLAS IDEAL SA;CANCELADA;7072;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
IND DE PAPEL PIRACICABA SA;IND DE PAPEL PIRACICABA SA;CANCELADA;7102;PAPEL E CELULOSE
IND MAQS AGRICOLAS FUCHS SA;IND MAQS AGRICOLAS FUCHS SA;CANCELADA;7064;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
IND MASSAS E BISCOITOS ALCOBAÇA SA;IND MASSAS E BISCOITOS ALCOBAÇA SA;CANCELADA;9920;ALIMENTOS
IND METALURGICA IGUACU SA;IND METALURGICA IGUACU SA;CANCELADA;7218;METALURGIA E SIDERURGIA
IND OLEOS PACAEMBU SA;IND OLEOS PACAEMBU SA;CANCELADA;12645;ALIMENTOS
IND PAPEIS SANTO AMARO SA;IND PAPEIS SANTO AMARO SA;CANCELADA;7080;PAPEL E CELULOSE
IND PAPEL PAPELAO S.ROBERTO SA;IND PAPEL PAPELAO S.ROBERTO SA;CANCELADA;7099;EMBALAGENS
IND TEXTIL JARITA SA;IND TEXTIL JARITA SA;CANCELADA;7269;TEXTIL E VESTUÁRIO
INDAC - INDÚSTRIA, ADM. E COMÉRCIO S.A.;INDAC - INDÚSTRIA, ADM. E COMÉRCIO S.A.;CANCELADA;7277;EMP. ADM. PART. - METALURGIA E SIDERURGIA
INDL ARTE TECNICA S.A.;INDL ARTE TECNICA S.A.;CANCELADA;7285;METALURGIA E SIDERURGIA
INDL BRASIL ARREND MERC SA;INDL BRASIL ARREND MERC SA;CANCELADA;15954;ARRENDAMENTO MERCANTIL
INDL E COML BRAS SA INCOBRASA;INDL E COML BRAS SA INCOBRASA;CANCELADA;7307;ALIMENTOS
INDS ALIMCS ITACOLOMY SA ITASA;INDS ALIMCS ITACOLOMY SA ITASA;CANCELADA;7340;ALIMENTOS
INDS ALIMENTICIAS MAGUARY SA;INDS ALIMENTICIAS MAGUARY SA;CANCELADA;7358;ALIMENTOS
INDS ARTEB SA;INDS ARTEB SA;CANCELADA;15881;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INDS ARTEFAMA SA;INDS ARTEFAMA SA;CANCELADA;7366;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
INDS C FABRINI SA;INDS C FABRINI SA;CANCELADA;7374;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INDS CHOCOLATE LACTA S/A;INDS CHOCOLATE LACTA S/A;CANCELADA;7390;ALIMENTOS
INDS COELHO SA;INDS COELHO SA;CANCELADA;7382;ALIMENTOS
INDS DE BEBS JOAQUIM T A F SA;INDS DE BEBS JOAQUIM T A F SA;CANCELADA;12068;BEBIDAS E FUMO
INDS J B DUARTE SA;INDS J B DUARTE SA;ATIVO;12319;ALIMENTOS
INDS JOSSAN SA;INDS JOSSAN SA;CANCELADA;7404;METALURGIA E SIDERURGIA
INDS KARINA SA;INDS KARINA SA;CANCELADA;7412;ALIMENTOS
INDS MADEIRIT SA;INDS MADEIRIT SA;CANCELADA;7439;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
INDS MINERVA SA;INDS MINERVA SA;CANCELADA;7455;EMBALAGENS
INDS MONSANTO SA;INDS MONSANTO SA;CANCELADA;7463;PETROQUíMICOS E BORRACHA
INDS NUCLEARES DO BRASIL SA;INDS NUCLEARES DO BRASIL SA;CANCELADA;5606;OUTRAS ATIVIDADES INDUSTRIAIS
INDS QUIMICAS NORTE SA;INDS QUIMICAS NORTE SA;CANCELADA;7471;PETROQUíMICOS E BORRACHA
INDS ROMI DO NORDESTE SA;INDS ROMI DO NORDESTE SA;CANCELADA;7501;METALURGIA E SIDERURGIA
INDS SCHNEIDER SA;INDS SCHNEIDER SA;CANCELADA;7528;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INDS TEXTEIS BARBERO SA;INDS TEXTEIS BARBERO SA;CANCELADA;7536;TEXTIL E VESTUÁRIO
INDÚSTRIA VEROLME S.A. - IVESA;INDÚSTRIA VEROLME S.A. - IVESA;CANCELADA;12866;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INDUSTRIAS MICHELETTO S/A;INDUSTRIAS MICHELETTO S/A;CANCELADA;7447;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INDÚSTRIAS ROMI S.A.;INDÚSTRIAS ROMI S.A.;ATIVO;7510;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INEPAR ENERGIA SA;INEPAR ENERGIA SA;CANCELADA;16730;ENERGIA ELÉTRICA
INEPAR EQUIPAMENTOS E MONTAGENS S.A. - EM RECUPERAÇÃO JUDICIAL;INEPAR EQUIPAMENTOS E MONTAGENS S.A. - EM RECUPERAÇÃO JUDICIAL;ATIVO;17868;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL;INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL;ATIVO;7595;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A;INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S/A;CANCELADA;21288;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
INFOVIAS PNSC SA;INFOVIAS PNSC SA;CANCELADA;16314;EMP. ADM. PARTICIPAÇÕES
INFRASEC SECURITIZADORA S/A;INFRASEC SECURITIZADORA S/A;ATIVO;21750;SECURITIZAÇÃO DE RECEBÍVEIS
INNCORP S.A.;INNCORP S.A.;SUSPENSO(A) - DECISÃO ADM;17558;EMP. ADM. PART. - SEM SETOR PRINCIPAL
INSTITUTO HERMES PARDINI S/A;INSTITUTO HERMES PARDINI S/A;ATIVO;24090;SERVIÇOS MÉDICOS
INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO;INTELLECTUAL SERVICES S.A - GESTÃO DE ATIVOS DO CONHECIMENTO;CANCELADA;23043;EMP. ADM. PART. - EDUCAçãO
INTER CONSTRUTORA E INCORPORADORA S.A;INTER CONSTRUTORA E INCORPORADORA S.A;ATIVO;24279;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
INTERAGRO SA ALIMENTOS;INTERAGRO SA ALIMENTOS;CANCELADA;16179;ALIMENTOS
INTERCEMENT BRASIL SA;INTERCEMENT BRASIL SA;CANCELADA;19631;EXTRAÇÃO MINERAL
INTERCOSMETIC HOLDING S/A;INTERCOSMETIC HOLDING S/A;CANCELADA;22888;EMP. ADM. PART. - FARMACêUTICO E HIGIENE
INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL;INTERMULTIMODAL S.A OPERADORA DE PLATAFORMAS INTERNACIONAIS DE LOGISTICA MULTIMODAL;CANCELADA;23086;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.;INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.;ATIVO;23574;ALIMENTOS
INTERNATIONAL MEAL COMPANY HOLDINGS, SA;INTERNATIONAL MEAL COMPANY HOLDINGS, SA;CANCELADA;21890;ALIMENTOS
INTERNATIONAL MEAL COMPANY HOLDINGS, SA;INTERNATIONAL MEAL COMPANY HOLDINGS, SA;CANCELADA;22438;ALIMENTOS
INVESPAR SA;INVESPAR SA;CANCELADA;7609;EMP. ADM. PARTICIPAÇÕES
INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR;INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR;ATIVO;18775;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
INVESTCO S/A;INVESTCO S/A;ATIVO;18589;ENERGIA ELÉTRICA
INVESTEC SA;INVESTEC SA;CANCELADA;12505;EMP. ADM. PARTICIPAÇÕES
INVESTHOTEL S.A.;INVESTHOTEL S.A.;CANCELADA;18570;EMP. ADM. PARTICIPAÇÕES
INVESTIMENTOS BEMGE S.A.;INVESTIMENTOS BEMGE S.A.;ATIVO;6041;BANCOS
INVESTMOBILE SA;INVESTMOBILE SA;CANCELADA;18120;EMP. ADM. PARTICIPAÇÕES
INVESTVALE SERVIÇOS S.A.;INVESTVALE SERVIÇOS S.A.;CANCELADA;18384;COMUNICAÇÃO E INFORMÁTICA
INVISTA NYLON SUL AMERICANA S/A;INVISTA NYLON SUL AMERICANA S/A;CANCELADA;18791;TEXTIL E VESTUÁRIO
INVITEL LEGACY SA;INVITEL LEGACY SA;ATIVO;21687;EMP. ADM. PART. - TELECOMUNICAçõES
INVITEL SA;INVITEL SA;CANCELADA;17396;EMP. ADM. PART. - TELECOMUNICAçõES
IOCHPE-MAXION SA;IOCHPE-MAXION SA;ATIVO;11932;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
IOSA INDÚSTRIA DE ÓLEO E SABÃO S/A;IOSA INDÚSTRIA DE ÓLEO E SABÃO S/A;CANCELADA;7498;
IPIRANGA PETROQUIMICA SA;IPIRANGA PETROQUIMICA SA;CANCELADA;12300;PETROQUíMICOS E BORRACHA
IPLAC DO BR SA PLASTICOS INDL;IPLAC DO BR SA PLASTICOS INDL;CANCELADA;7641;PETROQUíMICOS E BORRACHA
IRANI AGROFLORESTAL SA;IRANI AGROFLORESTAL SA;CANCELADA;13463;REFLORESTAMENTO
IRANI PAPEL E EMBALAGEM S.A.;IRANI PAPEL E EMBALAGEM S.A.;ATIVO;2429;PAPEL E CELULOSE
IRB - BRASIL RESSEGUROS S.A.;IRB - BRASIL RESSEGUROS S.A.;ATIVO;24180;SEGURADORAS E CORRETORAS
IRIRI PARTICIPACOES SA;IRIRI PARTICIPACOES SA;CANCELADA;16110;EMP. ADM. PARTICIPAÇÕES
IRMAOS DAVOLI SA IMP E COM;IRMAOS DAVOLI SA IMP E COM;CANCELADA;7650;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
IRONX MINERAÇÃO S/A;IRONX MINERAÇÃO S/A;CANCELADA;21458;METALURGIA E SIDERURGIA
IRPESA SA IND METALURGICA;IRPESA SA IND METALURGICA;CANCELADA;7668;METALURGIA E SIDERURGIA
ISA CAPITAL DO BRASIL SA;ISA CAPITAL DO BRASIL SA;CANCELADA;20427;EMP. ADM. PART. - ENERGIA ELéTRICA
ISEC SECURITIZADORA S.A.;ISEC SECURITIZADORA S.A.;ATIVO;20818;SECURITIZAÇÃO DE RECEBÍVEIS
ISOLUX INFRASTRUCTURE SA;ISOLUX INFRASTRUCTURE SA;CANCELADA;22624;ENERGIA ELÉTRICA
ITA ENERGETICA S/A;ITA ENERGETICA S/A;CANCELADA;18910;ENERGIA ELÉTRICA
ITABAPOANA PARTICIPACOES SA;ITABAPOANA PARTICIPACOES SA;CANCELADA;15601;EMP. ADM. PARTICIPAÇÕES
ITAGUASSU AGRO INDUSTRIAL S/A;ITAGUASSU AGRO INDUSTRIAL S/A;CANCELADA;7692;EXTRAÇÃO MINERAL
ITAITINGA PARTICIPACOES SA;ITAITINGA PARTICIPACOES SA;CANCELADA;15865;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ITAMARATY FILTROS DE PAPEL SA;ITAMARATY FILTROS DE PAPEL SA;CANCELADA;7706;OUTRAS ATIVIDADES INDUSTRIAIS
ITAPARICA SA EMPREEND TURIST;ITAPARICA SA EMPREEND TURIST;CANCELADA;7722;HOSPEDAGEM E TURISMO
ITAPEBI GERAÇÃO DE ENERGIA S/A;ITAPEBI GERAÇÃO DE ENERGIA S/A;ATIVO;19364;ENERGIA ELÉTRICA
ITAPIRUBA HOTEIS E TURISMO SA;ITAPIRUBA HOTEIS E TURISMO SA;CANCELADA;7730;HOSPEDAGEM E TURISMO
ITAQUI GERAÇÃO DE ENERGIA S.A.;ITAQUI GERAÇÃO DE ENERGIA S.A.;CANCELADA;23213;ENERGIA ELÉTRICA
ITAÚ RENT ADM. E PARTICIPAÇÕES S.A.;ITAÚ RENT ADM. E PARTICIPAÇÕES S.A.;CANCELADA;17019;EMP. ADM. PARTICIPAÇÕES
ITAÚ UNIBANCO HOLDING S.A.;ITAÚ UNIBANCO HOLDING S.A.;CANCELADA;1279;BANCOS
ITAÚ UNIBANCO HOLDING S.A.;ITAÚ UNIBANCO HOLDING S.A.;ATIVO;19348;BANCOS
ITAU UNIBANCO S.A.;ITAU UNIBANCO S.A.;CANCELADA;1287;BANCOS
ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT;ITAUBANK LEASING SA ARREND MERCANTIL (SUCEDIDA POR ITAU UNIBANCO SA E DIBENS LEASING SA ARR. MERCANT;CANCELADA;1821;ARRENDAMENTO MERCANTIL
ITAÚSA - INVESTIMENTOS ITAÚ S.A.;ITAÚSA - INVESTIMENTOS ITAÚ S.A.;ATIVO;7617;EMP. ADM. PART. - SEM SETOR PRINCIPAL
ITAUSEG PARTICIPAÇÕES SA;ITAUSEG PARTICIPAÇÕES SA;CANCELADA;19933;EMP. ADM. PART. - SEGURADORAS E CORRETORAS
ITAUTEC INFORMÁTICA S.A. - GRUPO ITAUTEC;ITAUTEC INFORMÁTICA S.A. - GRUPO ITAUTEC;CANCELADA;7757;COMUNICAÇÃO E INFORMÁTICA
ITAUTEC S.A. - GRUPO ITAUTEC;ITAUTEC S.A. - GRUPO ITAUTEC;CANCELADA;12530;COMUNICAÇÃO E INFORMÁTICA
ITINGA PARTICIPACOES SA;ITINGA PARTICIPACOES SA;CANCELADA;16136;EMP. ADM. PARTICIPAÇÕES
ITIQUIRA ENERGÉTICA S/A;ITIQUIRA ENERGÉTICA S/A;CANCELADA;18732;ENERGIA ELÉTRICA
